player,type,converted,type,date
minghini,A,0,practice,2023-09-26
minghini,A,0,practice,2023-09-26
tucker,B,0,practice,2023-09-26
tucker,F,0,practice,2023-09-26
edgmon,G,+,practice,2023-09-26
edgmon,L,/,practice,2023-09-26
edgmon,L,0,practice,2023-09-26
edgmon,A,0,practice,2023-09-26
black,F,0,practice,2023-09-26
black,Q,0,practice,2023-09-26
black,G,-,practice,2023-09-26
black,B,/,practice,2023-09-26
black,G,0,practice,2023-09-26
black,F,0,practice,2023-09-26
black,L,+,practice,2023-09-26
vukadinovich,A,0,practice,2023-09-26
vukadinovich,A,/,practice,2023-09-26
norton,G,0,practice,2023-09-26
hunter,E,-,practice,2023-09-26
sileo,L,+,practice,2023-09-26
sileo,X,+,practice,2023-09-26
domingue,B,/,practice,2023-09-26
