player,type,converted,type,date
vukadinovich,W,+,scrimmage,9/22/2023
condon,A,0,scrimmage,9/22/2023
tucker,L,0,scrimmage,9/22/2023
tucker,L,0,scrimmage,9/22/2023
tucker,A,0,scrimmage,9/22/2023
tucker,A,0,scrimmage,9/22/2023
gailey,E,-,scrimmage,9/22/2023
gailey,A,0,scrimmage,9/22/2023
pritchett,S,0,scrimmage,9/22/2023
pritchett,Q,0,scrimmage,9/22/2023
pritchett,P,-,scrimmage,9/22/2023
black,B,0,scrimmage,9/22/2023
black,A,0,scrimmage,9/22/2023
hunter,S,+,scrimmage,9/22/2023
hunter,P,+,scrimmage,9/22/2023
chapin,A,0,scrimmage,9/22/2023
chapin,E,-,scrimmage,9/22/2023
edgmon,X,+,scrimmage,9/22/2023
edgmon,A,0,scrimmage,9/22/2023
sileo,A,0,scrimmage,9/22/2023
sileo,G,0,scrimmage,9/22/2023
hughes,G,0,scrimmage,9/22/2023
dobbins,X,-,scrimmage,9/22/2023
sileo,L,+,practice,9/22/2023
sileo,A,0,practice,9/22/2023
sileo,L,+,practice,9/22/2023
sileo,F,+,practice,9/22/2023
sileo,G,+,practice,9/22/2023
sileo,L,0,practice,9/22/2023
sileo,G,0,practice,9/22/2023
sileo,A,0,practice,9/22/2023
sileo,G,0,practice,9/22/2023
sileo,G,0,practice,9/22/2023
sileo,X,-,practice,9/22/2023
connelly,L,0,practice,9/22/2023
connelly,G,0,practice,9/22/2023
connelly,A,0,practice,9/22/2023
connelly,A,0,practice,9/22/2023
connelly,L,/,practice,9/22/2023
connelly,A,0,practice,9/22/2023
connelly,A,0,practice,9/22/2023
connelly,A,0,practice,9/22/2023
connelly,A,0,practice,9/22/2023
edgmon,A,0,practice,9/22/2023
edgmon,A,0,practice,9/22/2023
edgmon,A,0,practice,9/22/2023
edgmon,A,0,practice,9/22/2023
edgmon,A,0,practice,9/22/2023
edgmon,A,0,practice,9/22/2023
edgmon,L,0,practice,9/22/2023
edgmon,L,/,practice,9/22/2023
vukadinovich,G,0,practice,9/22/2023
vukadinovich,L,/,practice,9/22/2023
vukadinovich,L,0,practice,9/22/2023
vukadinovich,G,/,practice,9/22/2023
vukadinovich,V,+,practice,9/22/2023
black,L,0,practice,9/22/2023
black,G,0,practice,9/22/2023
black,P,0,practice,9/22/2023
hillman,A,0,practice,9/22/2023
hillman,A,0,practice,9/22/2023
hillman,L,0,practice,9/22/2023
hillman,A,0,practice,9/22/2023
condon,A,0,practice,9/22/2023
condon,B,0,practice,9/22/2023
condon,B,0,practice,9/22/2023
condon,G,0,practice,9/22/2023
pritchett,P,+,practice,9/22/2023
pritchett,S,+,practice,9/22/2023
tucker,F,-,practice,9/22/2023
tucker,B,0,practice,9/22/2023
allen,S,0,practice,9/22/2023
allen,S,+,practice,9/22/2023
chapin,A,0,practice,9/22/2023
