game,date,time,venue,field_num,team_1,team_2
P35,11/03/23,4:00 PM,Edwards Park,8,GA Impact Maher (18u),Athletics Mercado Smith (18u)
P34,11/03/23,4:00 PM,Edwards Park,3,Fury Platinum X - Hutchins (16u),Select Woelbel (16u)
P36,11/03/23,6:00 PM,Edwards Park,6,Turnin2 National Maloney 18u (18u),Select Fastpitch (18u)
P35,11/03/23,6:00 PM,Edwards Park,1,OC Batbusters Lara (16u),Turnin2 Robeson / Long (16u)
P39,11/03/23,6:00 PM,Edwards Park,3,Select 2026 Bower (16u),Fury Platinum X - Hutchins (16u)
P32,11/03/23,8:00 PM,Edwards Park,8,Arizona Storm National Mathis (18u),Select Fastpitch (18u)
P39,11/03/23,8:00 PM,Edwards Park,7,GA Impact Maher (18u),Top Gun 18 National (18u)
P38,11/03/23,8:00 PM,Edwards Park,1,Turnin2 Robeson / Long (16u),Athletics Mercado Hovermale 16U (16u)
P1,11/04/23,8:00 AM,Edwards Park,1,Arizona Storm National Mathis (18u),Georgia Impact Premier Caymol (18u)
P2,11/04/23,8:00 AM,Edwards Park,2,Athletics Mercado Smith (18u),Aces Fastpitch (18u)
P4,11/04/23,8:00 AM,Edwards Park,8,Illinois Chill Gold 16U (16u),LLG Elite (16u)
P7,11/04/23,8:00 AM,Edwards Park,3,Fury Platinum X - Hutchins (16u),Mojo Sherrill (16u)
P8,11/04/23,8:00 AM,Edwards Park,6,EC Bullets Schnute/Bilz (16u),Unity meadows/Johnson (16u)
P9,11/04/23,8:00 AM,Riverbend,1,Birmingham Thunderbolts Premier 2025 Kemp (18u),Rock Gold Manetta (18u)
P10,11/04/23,8:00 AM,Westside Park,3,Mojo 2025 - Nelson (16u),Turnin2 Robeson / Long (16u)
P11,11/04/23,8:00 AM,Westside Park,1,Georgia Impact Holcombe (16u),Rock Gold Manetta (16u)
P4,11/04/23,10:00 AM,Edwards Park,4,Select Fastpitch (18u),TAMPA MUSTANGS RENE (18u)
P2,11/04/23,10:00 AM,Edwards Park,6,Fury Platinum X Hutchins Helton (16u),Birmingham Thunderbolts Premier 2027-Alford (16u)
P5,11/04/23,10:00 AM,Edwards Park,8,Top Gun 16U National - Slezak (16u),Indiana Magic Gold Bennett/Goddard (16u)
P6,11/04/23,10:00 AM,Edwards Park,3,Birmingham Thunderbolts Premier 2026 - Thompson (16u),Athletics Mercado Hovermale 14u (16u)
P14,11/04/23,10:00 AM,Riverbend,3,Hotshots National ATL (18u),Team North Carolina (Hinde) (18u)
P15,11/04/23,10:00 AM,Riverbend,2,Indiana Magic Gold - Green (18u),Fury Platinum National Chiles- Powered by SCT (18u)
P13,11/04/23,10:00 AM,Westside Park,2,Tampa Mustangs PBell 2026/2027 (16u),Tennessee Mojo 2025-Gregory (16u)
P14,11/04/23,10:00 AM,Westside Park,3,Elite Wolfpack 16u NAT’L Fusetti/Watson (16u),GA Impact Taylor (16u)
P25,11/04/23,10:00 AM,Westside Park,1,Turnin2 Robeson / Long (16u),Georgia Impact Holcombe (16u)
P17,11/04/23,12:00 PM,Edwards Park,2,Georgia Impact Premier Caymol (18u),Fury Platinum X Higdon (18u)
P16,11/04/23,12:00 PM,Edwards Park,5,Starz Gold Bunn (16u),Select Woelbel (16u)
P18,11/04/23,12:00 PM,Edwards Park,6,Birmingham Thunderbolts Premier 2027-Alford (16u),Beverly Bandits Premier Moran (16u)
P19,11/04/23,12:00 PM,Edwards Park,8,LLG Elite (16u),Top Gun 16U National - Slezak (16u)
P40,11/04/23,12:00 PM,Edwards Park,3,Birmingham Thunderbolts Premier 2026 - Thompson (16u),Select 2026 Bower (16u)
P10,11/04/23,12:00 PM,Riverbend,1,GA Impact Maher (18u),Fury Platinum National Groves (18u)
P24,11/04/23,12:00 PM,Riverbend,3,Louisville Lady Sluggers-a Huecker/Murphy (18u),Rock Gold Manetta (18u)
P30,11/04/23,12:00 PM,Riverbend,4,Team North Carolina (Hinde) (18u),Fury Platinum National Chiles- Powered by SCT (18u)
P24,11/04/23,12:00 PM,Westside Park,4,Unity meadows/Johnson (16u),Louisville Lady Sluggers 16U Huecker/Norwood (16u)
