"","home_team","away_team","date","time"
"1","Greater Atlanta Christian","Mount Pisgah Christian",2023-08-02,"5:30pm"
"2","Apalachee","Flowery Branch",2023-08-05,"4:00pm"
"3","Johns Creek","Denmark",2023-08-05,"5:00pm"
"4","Columbus","Marion County",2023-08-05,"5:00pm"
"5","Centennial","Milton",2023-08-05,"5:00pm"
"6","Lowndes","Berrien",2023-08-05,"5:00pm"
"7","Greater Atlanta Christian","Providence Christian Academy",2023-08-05,"5:30pm"
"8","Alexander","Kell",2023-08-05,"6:30pm"
"9","Alcovy","Apalachee",2023-08-05,"8:00pm"
"10","Woodstock","Roswell",2023-08-06,"10:00am"
"11","Kell","McEachern",2023-08-06,"10:00am"
"12","Apalachee","Dacula",2023-08-06,"10:00am"
"13","Jefferson","North Hall",2023-08-06,"11:30am"
"14","Vidalia","Washington-Wilkes",2023-08-06,"12:00pm"
"15","Woodstock","Kennesaw Mountain",2023-08-06,"2:00pm"
"16","Apalachee","Jackson",2023-08-06,"2:00pm"
"17","Etowah","Kell",2023-08-06,"4:00pm"
"18","Greenbrier","Vidalia",2023-08-06,"4:00pm"
"19","North Hall","Jefferson",2023-08-06,"9:00am"
"20","Columbus","Lamar County",2023-08-08,"5:30pm"
"21","Lowndes","Thomas County Central",2023-08-09,"5:00pm"
"22","Troup County","East Coweta",2023-08-09,"6:00pm"
"23","Kell","North Cobb",2023-08-09,"6:00pm"
"24","Brookwood","Apalachee",2023-08-09,"6:00pm"
"25","Roswell","Milton",2023-08-09,"6:30pm"
"26","East Forsyth","North Hall",2023-08-09,"6:30pm"
"27","Cherokee","Woodstock",2023-08-09,"7:00pm"
"28","Woodstock","Walton",2023-08-10,"5:29pm"
"29","Denmark","Etowah",2023-08-10,"6:00pm"
"30","Apalachee","Oconee County",2023-08-10,"6:30pm"
"31","Milton","Cambridge",2023-08-10,"7:00pm"
"32","Vidalia","Glascock County",2023-08-11,"5:00pm"
"33","Walton","Kell",2023-08-11,"5:30pm"
"34","Tattnall Square Academy","Eagle's Landing Christian Academy",2023-08-11,"6:00pm"
"35","Buford","South Forsyth",2023-08-11,"6:00pm"
"36","Cherokee","Etowah",2023-08-11,"6:00pm"
"37","Pike County","East Coweta",2023-08-11,"6:00pm"
"38","Apalachee","Archer",2023-08-11,"6:00pm"
"39","North Hall","Walnut Grove",2023-08-11,"6:30pm"
"40","Columbus","Bremen",2023-08-12,"5:15pm"
"41","Houston County","Lowndes",2023-08-12,"6:00pm"
"42","Denmark","Pike County",2023-08-13,"11:00am"
"43","Lowndes","North Oconee",2023-08-13,"11:00am"
"44","Columbus","Jackson",2023-08-13,"11:15am"
"45","Tattnall Square Academy","West Laurens",2023-08-13,"12:00pm"
"46","North Hall","Lanier",2023-08-13,"1:00pm"
"47","Lowndes","River Ridge",2023-08-13,"3:00pm"
"48","Tattnall Square Academy","Piedmont Academy",2023-08-13,"4:00pm"
"49","Denmark","Northwest Whitfield",2023-08-13,"9:00am"
"50","Buford","Cherokee Bluff",2023-08-13,"9:00am"
"51","Buford","Campbell",2023-08-13,"9:00am"
"52","Dawson County","North Hall",2023-08-13,"9:00am"
"53","East Coweta","Union Grove",2023-08-15,"4:30pm"
"54","Glascock County","Vidalia",2023-08-15,"5:00pm"
"55","Kell","Woodstock",2023-08-15,"6:00pm"
"56","Buford","Walnut Grove",2023-08-15,"6:30pm"
"57","Winder-Barrow","Apalachee",2023-08-15,"6:30pm"
"58","North Forsyth","Denmark",2023-08-16,"5:00pm"
"59","Prince Avenue Christian","Apalachee",2023-08-16,"5:00pm"
"60","Greater Atlanta Christian","Centennial",2023-08-16,"5:30pm"
"61","Lowndes","Cairo",2023-08-16,"5:30pm"
"62","Alpharetta","Milton",2023-08-16,"5:55pm"
"63","Eagle's Landing Christian Academy","Tattnall Square Academy",2023-08-16,"6:00pm"
"64","Kell","Riverwood",2023-08-16,"6:00pm"
"65","Cherokee Bluff","North Hall",2023-08-16,"6:30pm"
"66","Cherokee","River Ridge",2023-08-17,"5:30pm"
