Pitcher,PitchType,RelSpeed,PlateLocSide,PlateLocHeight,HorzBreak,InducedVertBreak,adj_SpinAxis,SpinRate,RelSide,RelHeight,wFIP,ERA,SOr,BBr
Abby Dunning,Cutter,69.27123894,0.646998376,2.880546468,-3.231816758,2.538618806,285,1517.79252,1.846058179,0.312083573,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,69.34561055,0.321120114,4.269509266,-2.89153402,2.005887816,277.5,1496.866596,1.762281632,0.681904064,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Curve Ball,67.49860869,0.40587904,3.952866494,-2.639728302,0.80174384,255,1286.667914,1.825480707,0.766267031,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Changeup,49.62118392,-0.923854045,2.73583968,-6.44604819,-3.228428332,225,919.5843491,2.168687173,1.008114383,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,68.27582485,-1.270968458,1.9176353,-3.134484199,1.69482687,262.5,1403.685165,1.219670972,0.913949383,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Curve Ball,69.55317129,-1.110173424,1.399413157,-2.768119137,0.175438889,240,1315.272542,1.527493677,0.786948448,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,68.95993994,0.980185151,3.019070987,-2.974864767,2.004278375,277.5,1299.942619,1.704348884,0.629708611,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Curve Ball,68.71397319,0.501514035,3.516777807,-3.180805959,0.837777567,262.5,1474.700492,2.066084178,0.57259122,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Rise Ball,67.65494747,0.916822278,2.621841175,0.49903392,5.299239211,0,1483.327829,1.80677839,0.577146378,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,69.5734419,0.932737438,1.478008239,-2.969629684,2.295026938,285,1472.852036,1.483626223,0.565137366,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
Abby Dunning,Cutter,68.3243813,0.918046833,4.497692315,-4.079061442,1.358800591,270,1271.145872,1.573056927,0.878095696,3.1889462846814216,2.8797468354430382,0.20588235294117646,0.16246498599439776
